source_column,feature_name,keep,source_order,feature_order,unit_type,drop_first,is_reference,reference_level,level_value,ordinal_levels,source_prior
S_src00000,S_src00000,True,0,0,continuous,False,False,,,,
S_src00001,S_src00001,True,1,0,continuous,False,False,,,,
S_src00002,S_src00002,True,2,0,continuous,False,False,,,,
S_src00003,S_src00003,True,3,0,continuous,False,False,,,,
S_src00004,S_src00004,True,4,0,continuous,False,False,,,,
S_src00005,S_src00005,True,5,0,continuous,False,False,,,,
S_src00006,S_src00006,True,6,0,continuous,False,False,,,,
S_src00007,S_src00007,True,7,0,continuous,False,False,,,,
S_src00008,S_src00008,True,8,0,continuous,False,False,,,,
S_src00009,S_src00009,True,9,0,continuous,False,False,,,,
S_src00010,S_src00010,True,10,0,continuous,False,False,,,,
S_src00011,S_src00011,True,11,0,continuous,False,False,,,,
S_src00012,S_src00012,True,12,0,continuous,False,False,,,,
S_src00013,S_src00013,True,13,0,continuous,False,False,,,,
S_src00014,S_src00014,True,14,0,continuous,False,False,,,,
S_src00015,S_src00015,True,15,0,continuous,False,False,,,,
S_src00016,S_src00016,True,16,0,continuous,False,False,,,,
S_src00017,S_src00017,True,17,0,continuous,False,False,,,,
S_src00018,S_src00018,True,18,0,continuous,False,False,,,,
S_src00019,S_src00019,True,19,0,continuous,False,False,,,,
S_src00020,S_src00020,True,20,0,continuous,False,False,,,,
S_src00021,S_src00021,True,21,0,continuous,False,False,,,,
S_src00022,S_src00022,True,22,0,continuous,False,False,,,,
S_src00023,S_src00023,True,23,0,continuous,False,False,,,,
S_src00024,S_src00024,True,24,0,continuous,False,False,,,,
S_src00025,S_src00025,True,25,0,continuous,False,False,,,,
S_src00026,S_src00026,True,26,0,continuous,False,False,,,,
S_src00027,S_src00027,True,27,0,continuous,False,False,,,,
S_src00028,S_src00028,True,28,0,continuous,False,False,,,,
S_src00029,S_src00029,True,29,0,continuous,False,False,,,,
S_src00030,S_src00030,True,30,0,continuous,False,False,,,,
S_src00031,S_src00031,True,31,0,continuous,False,False,,,,
S_src00032,S_src00032,True,32,0,continuous,False,False,,,,
S_src00033,S_src00033,True,33,0,continuous,False,False,,,,
S_src00034,S_src00034,True,34,0,continuous,False,False,,,,
S_src00035,S_src00035,True,35,0,continuous,False,False,,,,
S_src00036,S_src00036,True,36,0,continuous,False,False,,,,
S_src00037,S_src00037,True,37,0,continuous,False,False,,,,
S_src00038,S_src00038,True,38,0,continuous,False,False,,,,
S_src00039,S_src00039,True,39,0,continuous,False,False,,,,
S_src00040,S_src00040,True,40,0,continuous,False,False,,,,
S_src00041,S_src00041,True,41,0,continuous,False,False,,,,
S_src00042,S_src00042,True,42,0,continuous,False,False,,,,
S_src00043,S_src00043,True,43,0,continuous,False,False,,,,
S_src00044,S_src00044,True,44,0,continuous,False,False,,,,
S_src00045,S_src00045,True,45,0,continuous,False,False,,,,
S_src00046,S_src00046,True,46,0,continuous,False,False,,,,
S_src00047,S_src00047,True,47,0,continuous,False,False,,,,
S_src00048,S_src00048,True,48,0,continuous,False,False,,,,
S_src00049,S_src00049,True,49,0,continuous,False,False,,,,
S_src00050,S_src00050,True,50,0,continuous,False,False,,,,
S_src00051,S_src00051,True,51,0,continuous,False,False,,,,
S_src00052,S_src00052,True,52,0,continuous,False,False,,,,
S_src00053,S_src00053,True,53,0,continuous,False,False,,,,
S_src00054,S_src00054,True,54,0,continuous,False,False,,,,
S_src00055,S_src00055,True,55,0,continuous,False,False,,,,
S_src00056,S_src00056,True,56,0,continuous,False,False,,,,
S_src00057,S_src00057,True,57,0,continuous,False,False,,,,
S_src00058,S_src00058,True,58,0,continuous,False,False,,,,
S_src00059,S_src00059,True,59,0,continuous,False,False,,,,
S_src00060,S_src00060,True,60,0,continuous,False,False,,,,
S_src00061,S_src00061,True,61,0,continuous,False,False,,,,
S_src00062,S_src00062,True,62,0,continuous,False,False,,,,
S_src00063,S_src00063,True,63,0,continuous,False,False,,,,
S_src00064,S_src00064,True,64,0,continuous,False,False,,,,
S_src00065,S_src00065,True,65,0,continuous,False,False,,,,
S_src00066,S_src00066,True,66,0,continuous,False,False,,,,
S_src00067,S_src00067,True,67,0,continuous,False,False,,,,
S_src00068,S_src00068,True,68,0,continuous,False,False,,,,
S_src00069,S_src00069,True,69,0,continuous,False,False,,,,
S_src00070,S_src00070,True,70,0,continuous,False,False,,,,
S_src00071,S_src00071,True,71,0,continuous,False,False,,,,
S_src00072,S_src00072,True,72,0,continuous,False,False,,,,
S_src00073,S_src00073,True,73,0,continuous,False,False,,,,
S_src00074,S_src00074,True,74,0,continuous,False,False,,,,
S_src00075,S_src00075,True,75,0,continuous,False,False,,,,
S_src00076,S_src00076,True,76,0,continuous,False,False,,,,
S_src00077,S_src00077,True,77,0,continuous,False,False,,,,
S_src00078,S_src00078,True,78,0,continuous,False,False,,,,
S_src00079,S_src00079,True,79,0,continuous,False,False,,,,
S_src00080,S_src00080,True,80,0,continuous,False,False,,,,
S_src00081,S_src00081,True,81,0,continuous,False,False,,,,
S_src00082,S_src00082,True,82,0,continuous,False,False,,,,
S_src00083,S_src00083,True,83,0,continuous,False,False,,,,
S_src00084,S_src00084,True,84,0,continuous,False,False,,,,
S_src00085,S_src00085,True,85,0,continuous,False,False,,,,
S_src00086,S_src00086,True,86,0,continuous,False,False,,,,
S_src00087,S_src00087,True,87,0,continuous,False,False,,,,
S_src00088,S_src00088,True,88,0,continuous,False,False,,,,
S_src00089,S_src00089,True,89,0,continuous,False,False,,,,
S_src00090,S_src00090,True,90,0,continuous,False,False,,,,
S_src00091,S_src00091,True,91,0,continuous,False,False,,,,
S_src00092,S_src00092,True,92,0,continuous,False,False,,,,
S_src00093,S_src00093,True,93,0,continuous,False,False,,,,
S_src00094,S_src00094,True,94,0,continuous,False,False,,,,
S_src00095,S_src00095,True,95,0,continuous,False,False,,,,
S_src00096,S_src00096,True,96,0,continuous,False,False,,,,
S_src00097,S_src00097,True,97,0,continuous,False,False,,,,
S_src00098,S_src00098,True,98,0,continuous,False,False,,,,
S_src00099,S_src00099,True,99,0,continuous,False,False,,,,
S_src00100,S_src00100,True,100,0,continuous,False,False,,,,
S_src00101,S_src00101,True,101,0,continuous,False,False,,,,
S_src00102,S_src00102,True,102,0,continuous,False,False,,,,
S_src00103,S_src00103,True,103,0,continuous,False,False,,,,
S_src00104,S_src00104,True,104,0,continuous,False,False,,,,
S_src00105,S_src00105,True,105,0,continuous,False,False,,,,
S_src00106,S_src00106,True,106,0,continuous,False,False,,,,
S_src00107,S_src00107,True,107,0,continuous,False,False,,,,
S_src00108,S_src00108,True,108,0,continuous,False,False,,,,
S_src00109,S_src00109,True,109,0,continuous,False,False,,,,
S_src00110,S_src00110,True,110,0,continuous,False,False,,,,
S_src00111,S_src00111,True,111,0,continuous,False,False,,,,
S_src00112,S_src00112,True,112,0,continuous,False,False,,,,
S_src00113,S_src00113,True,113,0,continuous,False,False,,,,
S_src00114,S_src00114,True,114,0,continuous,False,False,,,,
S_src00115,S_src00115,True,115,0,continuous,False,False,,,,
S_src00116,S_src00116,True,116,0,continuous,False,False,,,,
S_src00117,S_src00117,True,117,0,continuous,False,False,,,,
S_src00118,S_src00118,True,118,0,continuous,False,False,,,,
S_src00119,S_src00119,True,119,0,continuous,False,False,,,,
S_src00120,S_src00120,True,120,0,continuous,False,False,,,,
S_src00121,S_src00121,True,121,0,continuous,False,False,,,,
S_src00122,S_src00122,True,122,0,continuous,False,False,,,,
S_src00123,S_src00123,True,123,0,continuous,False,False,,,,
S_src00124,S_src00124,True,124,0,continuous,False,False,,,,
S_src00125,S_src00125,True,125,0,continuous,False,False,,,,
S_src00126,S_src00126,True,126,0,continuous,False,False,,,,
S_src00127,S_src00127,True,127,0,continuous,False,False,,,,
S_src00128,S_src00128,True,128,0,continuous,False,False,,,,
S_src00129,S_src00129,True,129,0,continuous,False,False,,,,
S_src00130,S_src00130,True,130,0,continuous,False,False,,,,
